"year","league","division","team","pctGamesWon","avgRunsScored","avgHits","avgTotalBases","avgHomeRuns","avgWalks","avgRunsAllowed","ERA","avgHitsAllowed","avgHomeRunsAllowed","avgWalksAllowed","avgErrors","fieldingPct","leagueWin","worldSeriesWin"
1984,"AL","Central","Kansas City Royals",51.85,4.15,9.18,13.65,0.72,2.47,4.23,3.92,8.8,0.84,2.67,0.81,0.98,"N","N"
1984,"NL","West","Los Angeles Dodgers",48.77,3.58,8.12,11.61,0.63,3.01,3.7,3.17,8.52,0.47,3.08,1.01,0.98,"N","N"
1984,"AL","Central","Minnesota Twins",50,4.15,9.09,13.21,0.7,2.7,4.17,3.85,8.82,0.98,2.86,0.74,0.98,"N","N"
1984,"NL","Central","Milwaukee Brewers",41.61,3.98,8.98,12.66,0.6,2.68,4.56,4.06,9.52,0.85,2.98,0.84,0.98,"N","N"
1984,"NL","East","Washington Nationals",48.45,3.68,8.49,12.23,0.6,2.92,3.63,3.31,8.28,0.71,2.94,0.82,0.98,"N","N"
1984,"AL","East","New York Yankees",53.7,4.68,9.63,14.13,0.8,3.3,4.19,3.78,9.17,0.74,3.2,0.88,0.98,"N","N"
1984,"NL","East","New York Mets",55.56,4.02,8.64,12.38,0.66,3.09,4.17,3.6,8.46,0.64,3.54,0.8,0.98,"N","N"
1984,"AL","West","Oakland Athletics",47.53,4.56,8.73,13.6,0.98,3.51,4.91,4.48,9.59,0.96,3.65,0.9,0.98,"N","N"
1984,"NL","East","Philadelphia Phillies",50,4.44,9.22,14.1,0.91,3.43,4.26,3.62,8.74,0.62,2.77,0.99,0.98,"N","N"
1984,"NL","Central","Pittsburgh Pirates",46.3,3.8,8.72,12.4,0.6,2.7,3.5,3.11,8.3,0.63,3.1,0.79,0.98,"N","N"
1984,"NL","West","San Diego Padres",56.79,4.23,8.8,12.61,0.67,2.91,3.91,3.48,8.19,0.75,3.48,0.85,0.98,"Y","N"
1984,"AL","West","Seattle Mariners",45.68,4.21,8.82,13.14,0.8,3.2,4.78,4.31,9.24,0.85,3.82,0.79,0.98,"N","N"
1984,"NL","West","San Francisco Giants",40.74,4.21,9.25,13.06,0.69,3.26,4.98,4.39,9.81,0.77,3.39,1.07,0.97,"N","N"
1984,"NL","Central","St. Louis Cardinals",51.85,4.02,8.45,11.77,0.46,3.19,3.98,3.58,8.81,0.58,3.05,0.73,0.98,"N","N"
1984,"AL","West","Texas Rangers",42.86,4.07,9.02,13.02,0.75,2.61,4.43,3.91,8.96,0.92,3.22,0.86,0.98,"N","N"
1984,"AL","East","Toronto Blue Jays",54.94,4.6,9.54,14.69,0.88,2.82,4.27,3.86,8.79,0.86,3.24,0.75,0.98,"N","N"
1985,"NL","East","Atlanta Braves",40.74,3.9,8.39,12.38,0.78,3.41,4.82,4.19,9.33,0.83,3.96,0.98,0.98,"N","N"
1985,"AL","East","Baltimore Orioles",51.55,5.08,9.01,14.73,1.33,3.75,4.75,4.38,9.19,0.99,3.53,0.8,0.98,"N","N"
1985,"AL","East","Boston Red Sox",50,4.91,9.91,15.06,0.99,3.45,4.42,4.06,9.12,0.8,3.31,0.89,0.98,"N","N"
1985,"AL","West","Los Angeles Angels",55.56,4.52,8.42,12.96,0.94,4,4.34,3.91,8.97,1.06,3.17,0.69,0.98,"N","N"
1985,"AL","Central","Chicago White Sox",52.47,4.52,8.5,13.16,0.9,2.89,4.42,4.07,8.66,0.99,3.49,0.68,0.98,"N","N"
1985,"NL","Central","Chicago Cubs",47.83,4.23,8.62,13.22,0.93,3.47,4.5,4.16,9.21,0.96,3.2,0.83,0.98,"N","N"
1985,"NL","Central","Cincinnati Reds",55.28,4.18,8.55,12.62,0.7,3.56,4.11,3.71,8.31,0.81,3.3,0.75,0.98,"N","N"
1985,"AL","Central","Cleveland Guardians",37.04,4.5,9.04,13.14,0.72,3.04,5.31,4.91,9.6,1.05,3.38,0.87,0.98,"N","N"
1985,"AL","Central","Detroit Tigers",52.17,4.53,8.78,14.68,1.25,3.27,4.27,3.78,8.16,0.88,3.45,0.89,0.98,"N","N"
1985,"AL","West","Houston Astros",51.23,4.36,8.99,13.36,0.75,2.94,4.27,3.66,8.6,0.73,3.35,0.94,0.98,"N","N"
1985,"AL","Central","Kansas City Royals",56.17,4.24,8.54,13.61,0.95,2.92,3.94,3.49,8.85,0.64,2.86,0.78,0.98,"Y","Y"
1985,"NL","West","Los Angeles Dodgers",58.64,4.21,8.85,12.98,0.8,3.33,3.57,2.96,7.9,0.63,2.85,1.02,0.97,"N","N"
1985,"AL","Central","Minnesota Twins",47.53,4.35,8.97,13.83,0.87,3.1,4.83,4.48,9.06,1.01,2.85,0.74,0.98,"N","N"
1985,"NL","Central","Milwaukee Brewers",44.1,4.29,9.11,13.09,0.63,2.87,4.98,4.39,9.38,1.09,3.1,0.88,0.98,"N","N"
1985,"NL","East","Washington Nationals",52.17,3.93,8.34,12.65,0.73,3.06,3.95,3.55,8.36,0.61,3.16,0.75,0.98,"N","N"
1985,"AL","East","New York Yankees",60.25,5.21,9.06,14.41,1.09,3.85,4.1,3.69,8.53,0.98,3.22,0.78,0.98,"N","N"
1985,"NL","East","New York Mets",60.49,4.29,8.8,13.19,0.83,3.37,3.51,3.11,8.06,0.69,3.18,0.71,0.98,"N","N"
1985,"AL","West","Oakland Athletics",47.53,4.67,9.1,13.81,0.96,3.14,4.86,4.41,8.96,1.06,3.75,0.86,0.98,"N","N"
1985,"NL","East","Philadelphia Phillies",46.3,4.12,8.29,12.95,0.87,3.25,4.15,3.68,8.79,0.71,3.68,0.86,0.98,"N","N"
