"year","league","franchID","division","leagueWin","worldSeriesWin","ERA","fieldingPct","team","pctGamesWon","avgRunsScored","avgHits","avgTotalBases","avgHomeRuns","avgWalks","avgRunsAllowed","avgHitsAllowed","avgHomeRunsAllowed","avgWalksAllowed","avgErrors"
2013,"NL","PIT","Central","N","N",3.26,0.984,"Pittsburgh Pirates",58.0246913580247,3.91358024691358,8.30864197530864,13.4074074074074,0.993827160493827,2.89506172839506,3.56172839506173,8.01851851851852,0.623456790123457,3.17901234567901,0.654320987654321
2013,"NL","SDP","West","N","N",3.98,0.986,"San Diego Padres",46.9135802469136,3.81481481481481,8.32716049382716,12.8703703703704,0.901234567901235,2.88271604938272,4.32098765432099,8.68518518518519,0.962962962962963,3.24074074074074,0.512345679012346
2013,"AL","SEA","West","N","N",4.31,0.986,"Seattle Mariners",43.8271604938272,3.85185185185185,8.1358024691358,13.3641975308642,1.16049382716049,3.26543209876543,4.65432098765432,9.05555555555556,1.07407407407407,2.95061728395062,0.54320987654321
2013,"NL","SFG","West","N","N",4,0.982,"San Francisco Giants",46.9135802469136,3.88271604938272,8.92592592592593,13.0679012345679,0.660493827160494,2.89506172839506,4.26543209876543,8.51851851851852,0.895061728395062,3.21604938271605,0.660493827160494
2013,"NL","STL","Central","Y","N",3.42,0.988,"St. Louis Cardinals",59.8765432098765,4.83333333333333,9.22222222222222,13.7716049382716,0.771604938271605,2.96913580246914,3.67901234567901,8.4320987654321,0.691358024691358,2.78395061728395,0.462962962962963
2013,"AL","TBD","East","N","N",3.74,0.99,"Tampa Bay Rays",56.441717791411,4.29447852760736,8.71779141104295,13.8527607361963,1.01226993865031,3.61349693251534,3.96319018404908,8.06748466257669,0.938650306748466,2.95705521472393,0.361963190184049
2013,"AL","TEX","West","N","N",3.62,0.986,"Texas Rangers",55.8282208588957,4.47852760736196,8.98773006134969,14.1165644171779,1.07975460122699,2.83435582822086,3.90184049079755,8.40490797546012,0.96319018404908,3.05521472392638,0.52760736196319
2013,"AL","TOR","East","N","N",4.25,0.982,"Toronto Blue Jays",45.679012345679,4.39506172839506,8.62962962962963,14.037037037037,1.14197530864198,3.14814814814815,4.66666666666667,8.95679012345679,1.2037037037037,3.08641975308642,0.685185185185185
2013,"NL","WSN","East","N","N",3.59,0.982,"Washington Nationals",53.0864197530864,4.04938271604938,8.42592592592593,13.3395061728395,0.993827160493827,2.8641975308642,3.8641975308642,8.43827160493827,0.876543209876543,2.5,0.660493827160494
2014,"NL","ARI","West","N","N",4.26,0.983,"Arizona Diamondbacks",39.5061728395062,3.7962962962963,8.51234567901234,12.8765432098765,0.728395061728395,2.45679012345679,4.58024691358025,9.05555555555556,0.950617283950617,2.89506172839506,0.623456790123457
